"lat","lon","n2o","clay","silt","sand","bd","soc","noc","ph","croptype","Pwin_before","Pspr_before","Psum_before","Paut_before","Pwin","Pspr","Psum","Paut","Twin_before","Tspr_before","Tsum_before","Taut_before","Twin","Tspr","Tsum","Taut","ferttype","fertN","NO3","NH4"
60.490002,23.299999,1.92353840616713,10,7,83,1.1,2.6,0.16,6,2,214.899994,164.199997,105.699997,165.199997,165.800003,148.199997,289.899994,220.899994,-2.23,2.806667,17.496668,8.21,-2.693333,4.183333,15.476667,8.13,26,100,50,50
60.490002,23.299999,2.09761769634030,10,7,83,1.1,2.6,0.16,6,2,165.800003,148.199997,289.899994,220.899994,197.199997,171.699997,153.800003,293.200012,-2.693333,4.183333,15.476667,8.13,-3.48,2.48,17.303333,7.306667,26,100,50,50
60.490002,23.299999,1.92353840616713,57,29,14,1.2,2.7,0.22,6.5,2,214.899994,164.199997,105.699997,165.199997,165.800003,148.199997,289.899994,220.899994,-2.23,2.806667,17.496668,8.21,-2.693333,4.183333,15.476667,8.13,26,100,50,50
60.490002,23.299999,2.73861278752583,57,29,14,1.2,2.7,0.22,6.5,2,165.800003,148.199997,289.899994,220.899994,197.199997,171.699997,153.800003,293.200012,-2.693333,4.183333,15.476667,8.13,-3.48,2.48,17.303333,7.306667,26,100,50,50
55.799999,-3.22,1.16704755687161,22,38,40,1.2,0.9,9999,9999,2,225.699997,206.5,125.599998,221.100006,210.300003,167.399994,86.800003,234.600006,2.616667,6.346667,15.093333,8.55,1.44,6.403333,17.123333,9.866667,9999,110,36.666668,36.666668
55.799999,-3.22,1.21778487426967,22,38,40,1.1,0.9,9999,9999,2,225.699997,206.5,125.599998,221.100006,210.300003,167.399994,86.800003,234.600006,2.616667,6.346667,15.093333,8.55,1.44,6.403333,17.123333,9.866667,9999,110,36.666668,36.666668
55.799999,-3.22,1.47918896696805,22,38,40,1.4,0.9,9999,9999,2,225.699997,206.5,125.599998,221.100006,210.300003,167.399994,86.800003,234.600006,2.616667,6.346667,15.093333,8.55,1.44,6.403333,17.123333,9.866667,9999,110,36.666668,36.666668
55.799999,-3.22,1.55788317918899,22,38,40,1.1,0.9,9999,9999,2,225.699997,206.5,125.599998,221.100006,210.300003,167.399994,86.800003,234.600006,2.616667,6.346667,15.093333,8.55,1.44,6.403333,17.123333,9.866667,9999,110,36.666668,36.666668
48.57,2.25,0.0894427190999916,10,49.5,40.5,1.25,1.7,0.151786,8.1,0,299.299988,146.800003,111,231.699997,317,276.200012,146.300003,213.600006,4.936667,11.023333,19.17,9.293333,5.973333,10.423333,20.93,12.423333,99,0,0,0
48.57,2.25,0.391152144312159,10,50,40,1.25,1.7,0.151786,8.1,3,299.299988,146.800003,111,231.699997,317,276.200012,146.300003,213.600006,4.936667,11.023333,19.17,9.293333,5.973333,10.423333,20.93,12.423333,222,153,38.25,38.25
48.57,2.25,0.561248608016091,10,50,40,1.25,1.7,0.151786,8.1,3,299.299988,146.800003,111,231.699997,317,276.200012,146.300003,213.600006,4.936667,11.023333,19.17,9.293333,5.973333,10.423333,20.93,12.423333,222,232,58,58
48.57,2.25,0.0894427190999916,10,50,40,1.25,1.7,0.151786,8.1,3,299.299988,146.800003,111,231.699997,317,276.200012,146.300003,213.600006,4.936667,11.023333,19.17,9.293333,5.973333,10.423333,20.93,12.423333,99,0,0,0
51.810001,0.356,1.19163752878130,22,26,52,9999,9999,9999,7,2,154.600006,85,131.199997,105.800003,113.199997,116.400002,121.800003,147.600006,2.88,10.72,18.216667,11.08,3.52,9.603333,17.453333,11.06,8,150,75,75
47.25,4.9,1.65045448286222,20,69,11,1.4,0.86,0.09,6,2,433.5,292.5,125.199997,294,285.700012,301.399994,147.699997,232.399994,4.413333,10.13,21.873333,11.98,1.94,9.173333,20.629999,11.6,26,170,85,85
47.25,4.9,1.67809415707224,20,69,11,1.4,0.86,0.09,6,2,433.5,292.5,125.199997,294,285.700012,301.399994,147.699997,232.399994,4.413333,10.13,21.873333,11.98,1.94,9.173333,20.629999,11.6,26,170,85,85
55.799999,-3.22,0.836660026534076,20,29,51,9999,3.294118,9999,5.6,2,210.300003,167.399994,86.800003,234.600006,217.899994,219.899994,183.699997,224.300003,1.44,6.403333,17.123333,9.866667,1.703333,5.73,14.886667,8.276667,26,200,100,100
55.799999,-3.22,0.948683298050514,20,29,51,9999,3.294118,9999,5.6,2,217.899994,219.899994,183.699997,224.300003,275.100006,250.199997,218.399994,169.899994,1.703333,5.73,14.886667,8.276667,4.273333,7.783333,15.82,9.176667,26,200,100,100
55.799999,-3.22,2,17,23,60,9999,3.176471,9999,7,1,210.300003,167.399994,86.800003,234.600006,217.899994,219.899994,183.699997,224.300003,1.44,6.403333,17.123333,9.866667,1.703333,5.73,14.886667,8.276667,26,180,90,90
55.799999,-3.22,1.73205080756888,17,23,60,9999,3.176471,9999,7,1,217.899994,219.899994,183.699997,224.300003,275.100006,250.199997,218.399994,169.899994,1.703333,5.73,14.886667,8.276667,4.273333,7.783333,15.82,9.176667,26,170,85,85
48.299999,11.2,2.82842712474619,19,59,22,1.3,1.6,0.17,6,1,168.899994,375.100006,429.399994,240.899994,159.600006,252.5,403.100006,288.200012,-2.17,6.97,17.836666,8.803333,-0.76,7.12,17.370001,7.903333,222,50,12.5,12.5
48.299999,11.2,4.00374836871650,19,59,22,1.3,1.6,0.17,6,1,168.899994,375.100006,429.399994,240.899994,159.600006,252.5,403.100006,288.200012,-2.17,6.97,17.836666,8.803333,-0.76,7.12,17.370001,7.903333,222,150,37.5,37.5
55.43,11.56,0.579655069847578,10,20,70,1.39,2.36,0.23,7.9,2,231.5,156.399994,133.100006,176.300003,207.399994,211.5,167.199997,263.600006,3.376667,6.336667,18.809999,9.89,1.583333,7.116667,15.973333,8.893333,44,105,26.25,26.25
55.43,11.56,0.587367006223537,10,20,70,1.39,2.36,0.23,7.9,2,231.5,156.399994,133.100006,176.300003,207.399994,211.5,167.199997,263.600006,3.376667,6.336667,18.809999,9.89,1.583333,7.116667,15.973333,8.893333,44,186,46.5,46.5
51.099998,3.8,1.70293863659264,10,20,70,9999,9999,9999,9999,1,324.200012,152.399994,137.699997,189.399994,385.700012,286.200012,108.199997,240.600006,3.776667,10.66,17.063334,8.53,5.02,9.183333,19.466667,11.74,9999,75,37,37
54.088699,12.14,1.4226735395023,7,23,70,1.5,0.9,0.08,6.5,2,123,194.5,88.400002,112.5,139.100006,189.199997,128.300003,207.100006,-4.376667,6.686667,18.873333,9.923333,-1.3,6.003333,17.200001,8.773333,8,125,62.5,62.5
54.088699,12.14,1.21037184369102,7,23,70,1.5,0.9,0.08,6.5,2,123,194.5,88.400002,112.5,139.100006,189.199997,128.300003,207.100006,-4.376667,6.686667,18.873333,9.923333,-1.3,6.003333,17.200001,8.773333,8,45,22.5,22.5
54.088699,12.14,1.72162713733259,7,23,70,1.5,0.9,0.08,6.5,2,123,194.5,88.400002,112.5,139.100006,189.199997,128.300003,207.100006,-4.376667,6.686667,18.873333,9.923333,-1.3,6.003333,17.200001,8.773333,8,160,40,40
54.088699,12.14,1.51953940389843,7,23,70,1.5,0.9,0.08,6.5,2,123,194.5,88.400002,112.5,139.100006,189.199997,128.300003,207.100006,-4.376667,6.686667,18.873333,9.923333,-1.3,6.003333,17.200001,8.773333,8,80,40,40
54.088699,12.14,0.940212741883453,7,23,70,1.5,0.9,0.08,6.5,0,123,194.5,88.400002,112.5,139.100006,189.199997,128.300003,207.100006,-4.376667,6.686667,18.873333,9.923333,-1.3,6.003333,17.200001,8.773333,8,0,13,13
48.139999,11.57,1.64195006014190,22,55,23,1.3,1.43,0.13,6.1,2,366.600006,450.600006,378.200012,237.800003,184.5,467.600006,561.700012,297.700012,0.73,8.036667,18.540001,9.956667,-1.88,6.213333,16.813334,8.453333,222,90,22.5,22.5
48.139999,11.57,1.90709202714499,22,55,23,1.3,1.43,0.13,6.1,2,366.600006,450.600006,378.200012,237.800003,184.5,467.600006,561.700012,297.700012,0.73,8.036667,18.540001,9.956667,-1.88,6.213333,16.813334,8.453333,222,180,45,45
48.139999,11.57,1.15801554393713,22,55,23,1.3,1.43,0.13,6.1,1,366.600006,450.600006,378.200012,237.800003,184.5,467.600006,561.700012,297.700012,0.73,8.036667,18.540001,9.956667,-1.88,6.213333,16.813334,8.453333,8,65,32.5,32.5
48.139999,11.57,1.5511286213593,22,55,23,1.3,1.43,0.13,6.1,1,366.600006,450.600006,378.200012,237.800003,184.5,467.600006,561.700012,297.700012,0.73,8.036667,18.540001,9.956667,-1.88,6.213333,16.813334,8.453333,8,130,65,65
48.139999,11.57,2.38746727726266,22,55,23,1.3,1.43,0.13,6.1,1,366.600006,450.600006,378.200012,237.800003,184.5,467.600006,561.700012,297.700012,0.73,8.036667,18.540001,9.956667,-1.88,6.213333,16.813334,8.453333,222,50,12.5,12.5
48.139999,11.57,2.62678510731274,22,55,23,1.3,1.43,0.13,6.1,1,366.600006,450.600006,378.200012,237.800003,184.5,467.600006,561.700012,297.700012,0.73,8.036667,18.540001,9.956667,-1.88,6.213333,16.813334,8.453333,222,150,37.5,37.5
51.450001,1.25,1.09544511501033,65,20,15,0.8,3.7,9999,6.7,2,204.300003,97,64,264,226.399994,175.800003,24.799999,140.5,6.08,8.103333,15.65,13.25,6.153333,7.69,15.58,12.766667,26,70,35,35
51.450001,1.25,1.18321595661992,65,20,15,0.8,3.7,9999,6.7,2,204.300003,97,64,264,226.399994,175.800003,24.799999,140.5,6.08,8.103333,15.65,13.25,6.153333,7.69,15.58,12.766667,26,70,35,35
44.5,11.02,1.76153342290176,45,45,10,1.33,1.2,0.165,7.6,1,131.600006,176.5,45.400002,186.300003,136.800003,101.900002,67.800003,100.5,3.373333,10.766667,24.603333,11.616667,3.736667,11.903333,25.34,13.92,18,225,0,0
44.5,11.02,2.11825399798985,45,45,10,1.33,1.2,0.165,7.6,1,131.600006,176.5,45.400002,186.300003,136.800003,101.900002,67.800003,100.5,3.373333,10.766667,24.603333,11.616667,3.736667,11.903333,25.34,13.92,44,450,0,0
44.5,11.02,1.77510563065976,45,45,10,1.33,1.2,0.165,7.6,1,131.600006,176.5,45.400002,186.300003,136.800003,101.900002,67.800003,100.5,3.373333,10.766667,24.603333,11.616667,3.736667,11.903333,25.34,13.92,10,225,0,0
44.5,11.02,1.26055543313255,45,45,10,1.33,1.2,0.165,7.6,1,131.600006,176.5,45.400002,186.300003,136.800003,101.900002,67.800003,100.5,3.373333,10.766667,24.603333,11.616667,3.736667,11.903333,25.34,13.92,99,0,0,0
52.23,-0.025,1.13837647551239,45,29,26,1.27,2.9,0.29,7.7,2,201.399994,285.700012,217.5,240,206.600006,198.800003,231.399994,164.600006,4.326667,9.573333,15.936667,9.9,4.39,9.743333,17.4,11.336667,26,190,95,95
52.259998,0.57,1.05788704501000,14,66,20,1.56,1.176471,0.1,7.7,2,185.600006,282.899994,247.5,222.5,194.199997,212,200.800003,158.199997,4.256667,9.316667,15.79,9.806667,4.39,9.653333,17.313334,11.546667,26,132,66,66
53.220001,-1.11,1.58505268051254,8,17,75,1.4,1.2,0.1,5.7,1,214.899994,296.899994,272,238.899994,203.899994,238.100006,193.100006,174.199997,3.83,8.736667,14.693333,9.206667,3.753333,8.89,16.606667,10.72,26,290,145,145
47.459999,4.95,0.273861278752583,50,38,12,1,0.8,0.071429,7.9,0,408.399994,293.600006,121.300003,249,251.800003,270.299988,131.5,197.100006,4.213333,9.783333,21.393333,11.7,1.563333,8.866667,20.266666,11.34,99,0,0,0
47.459999,4.95,0.96850400102426,50,38,12,1,0.8,0.071429,7.9,3,408.399994,293.600006,121.300003,249,251.800003,270.299988,131.5,197.100006,4.213333,9.783333,21.393333,11.7,1.563333,8.866667,20.266666,11.34,222,162,37.259998,50.220001
47.459999,4.95,1.41527382509534,50,38,12,1,0.8,0.071429,7.9,3,408.399994,293.600006,121.300003,249,251.800003,270.299988,131.5,197.100006,4.213333,9.783333,21.393333,11.7,1.563333,8.866667,20.266666,11.34,222,262,60.259998,81.220001
47.16,5.18,0.565685424949238,30,40,30,1.5,3.1,0.335135,6,0,466.5,301.600006,138.899994,316.200012,284.399994,335.5,164.600006,250,4.526667,10.4,22.203333,12.163333,2.066667,9.39,20.866667,11.79,99,0,0,0
